jet0Pt,jet0Eta,jet0Phi,jet1Pt,jet1Eta,jet1Phi,DiTauPt,DiTauEta,DiTauPhi,SignedDeltaPhi,Weight
117.939,2.23422,0.809417,77.951,-3.81624,-1.86919,52.6405,-0.138496,3.12988,2.6786,0.0128315
472.804,1.65092,2.68005,58.7826,-4.02358,0.824595,326.639,1.13161,-0.648246,1.85545,0.0128315
153.378,-2.24179,-0.725825,57.4033,2.18803,-2.33127,115.125,-1.30801,1.86254,-1.60545,-0.0128315
100.869,-3.06801,-0.813429,51.5097,3.62724,0.61995,106.135,0.0803245,2.72658,1.43338,0.0128315
162.328,-2.68237,1.15307,69.3671,1.3886,-0.0475876,101.307,0.43062,-2.62746,-1.20066,-0.0128315
102.374,4.01181,-0.745761,44.5134,-3.3325,1.60895,66.6269,0.164587,2.84233,-2.35471,-0.0128315
66.3669,0.171392,2.43123,49.8085,-4.11494,3.12476,80.7721,-1.15828,-0.0906134,-0.693521,-0.0128315
220.247,-1.54956,-2.08216,148.171,2.65972,-1.45734,125.445,-0.035951,1.31573,0.624829,0.0128315
140.845,-3.16923,0.963999,74.8849,2.0115,-0.307828,126.852,0.363336,-2.46806,-1.27183,-0.0128315
193.945,-2.61621,-0.730901,106.665,2.93089,1.36985,82.9493,-1.25417,2.99067,2.10076,0.0128315
90.6425,2.24138,0.989822,51.0062,-4.24847,1.48881,79.3092,-1.75115,-2.16162,-0.498991,-0.0128315
160.162,-1.4481,2.4027,40.5758,2.88391,1.51703,158.866,0.789378,-0.952156,-0.885665,-0.0128315
137.047,-2.55159,0.09421,68.5531,3.2988,-1.20402,50.4272,1.881,-3.08996,-1.29823,-0.0128315
115.416,-2.12677,-1.79057,32.1123,2.37852,-3.13991,90.0095,-0.640958,1.34259,-1.34933,-0.0128315
148.264,-1.97577,2.13924,112.548,3.6444,-0.20876,93.7813,0.318413,-1.93791,-2.348,-0.0128315
266.649,1.35623,1.54001,123.415,-2.36668,-2.86404,184.212,-0.220607,-1.05554,-1.87913,-0.0128315
136.924,-1.94061,-0.44907,63.445,1.77045,-2.6464,118.474,0.937785,1.71324,-2.19733,-0.0128315
127.052,-1.16786,2.24428,56.0392,3.25209,-2.80618,190.253,1.39747,-0.602871,1.23272,0.0128315
301.166,1.19334,-0.0471671,68.3902,-2.52534,1.6381,217.93,-2.34912,3.01783,-1.68527,-0.0128315
107.003,1.81178,-2.83642,79.396,-2.32955,-1.02443,106.557,-0.53391,1.2358,-1.812,-0.0128315
77.5342,-0.764971,1.70368,37.3977,4.15105,1.61521,87.4409,0.66351,-1.58059,-0.0884677,0.0128315
181.934,0.972625,1.08775,84.8897,-2.95575,-1.48352,81.5232,-1.7273,-2.37318,2.57128,0.0128315
179.174,-2.13695,1.29732,119.808,2.80281,-2.11109,132.924,0.711459,-1.16788,2.87477,0.0128315
222.439,-2.51027,-2.829,137.35,0.65894,2.88706,132.455,-0.511474,-0.107748,-0.567123,-0.0128315
162.106,-2.01199,0.42305,60.7164,1.53428,0.0116781,196.319,0.0351091,-2.81239,-0.411372,-0.0128315
233.687,-2.1086,0.0216674,143.808,2.62239,1.28995,129.07,-0.453877,-2.53978,1.26828,0.0128315
380.085,0.903849,-2.4832,60.0934,-3.88798,2.41762,374.446,-0.404195,0.594176,1.38237,0.0128315
118.275,-3.14843,2.81669,74.7836,2.10444,-2.50567,87.9756,0.00942348,-0.0190824,0.960824,0.0128315
148.989,-0.899303,2.7186,91.7842,2.44726,2.68798,328.01,0.800832,-0.548584,-0.0306163,-0.0128315
177.72,-1.17485,0.310611,144.056,2.31007,-0.554665,150.15,-0.311999,2.98447,-0.865276,-0.0128315
134.195,-1.86286,-1.8428,77.4902,3.7278,0.324841,96.7584,0.445506,1.66345,2.16764,0.0128315
271.572,1.63468,-0.323468,92.9601,-3.08988,-1.51883,246.943,-1.2124,2.56537,1.19536,0.0128315
308.921,-1.13275,1.15487,110.774,2.95849,2.7304,258.895,0.534741,-1.7309,1.57553,0.0128315
107.414,-3.41011,0.368691,61.7582,2.10781,-1.74831,86.412,0.55704,-2.95692,-2.117,-0.0128315
169.515,-2.46321,-3.1283,54.5906,1.15759,0.875386,70.4892,-0.407962,-0.29605,-2.2795,-0.0128315
93.1437,-1.1654,1.84712,68.5641,2.69584,1.33137,88.5164,-0.864487,-2.54966,-0.515746,-0.0128315
253.951,-2.0289,0.325866,68.8077,1.22901,-0.404822,178.408,-1.71072,-3.00824,-0.730688,-0.0128315
191.253,1.72884,3.13864,67.701,-3.66098,0.938246,132.387,-0.847507,-0.310814,2.2004,0.0128315
214.81,-1.56157,-2.52106,149.663,3.26522,3.0461,190.98,1.55952,0.216384,-0.716033,-0.0128315
190.704,-1.64642,1.42655,59.3609,1.96021,1.40668,152.322,-0.150051,-1.74277,-0.01987,-0.0128315
149.436,1.66072,1.00607,60.1013,-2.73189,1.4622,167.668,-0.181225,-2.05205,-0.456136,-0.0128315
135.415,-0.604199,3.04815,96.3811,2.48918,0.940792,85.5505,1.80755,-0.6391,-2.10736,-0.0128315
116.184,-1.37709,-1.56074,82.9405,3.52268,-2.76935,109.191,0.0952323,1.11593,-1.2086,-0.0128315
172.458,2.61671,-1.48874,82.2555,-3.71955,-0.922529,193.565,-0.260638,1.84995,-0.566211,-0.0128315
96.8761,1.67071,1.75342,63.2635,-2.04468,-2.25224,87.8042,1.56502,-0.653408,-2.27752,-0.0128315
94.5751,-2.66116,0.307127,60.4228,1.04981,0.0798363,91.3127,-0.40392,-1.98178,-0.227291,0.0128315
167.811,-1.87663,-0.805197,72.2081,2.9292,1.40537,215.43,1.8732,2.98209,2.21056,0.0128315
108.296,-0.2555,2.84717,60.0731,2.85694,-2.56723,125.553,1.11023,0.00212973,0.868787,0.0128315
188.891,-2.62212,-1.68746,153.382,1.03358,0.631138,219.329,0.0077608,1.65329,2.3186,0.0128315
337.096,-0.182313,-0.28578,36.198,3.75715,1.98036,136.647,0.710624,2.93776,2.26614,0.0128315
275.755,-0.339062,-0.41105,54.6582,4.21375,-1.64763,222.31,0.741703,2.48099,-1.23658,-0.0128315
244.23,2.54849,-0.881692,67.71,-2.79237,-1.45448,179.929,0.202892,2.26031,0.572788,0.0128315
102.46,-1.65465,-1.22419,54.3479,2.16488,0.822923,78.3236,-0.0218733,2.55704,2.04712,0.0128315
236.955,2.33017,1.41221,100.035,-2.87711,-0.90439,39.049,-0.377473,-2.18716,2.3166,0.0128315
102.429,-0.720417,0.154746,55.2116,3.50043,-1.72817,39.2003,0.321504,2.76329,-1.88292,-0.0128315
340.564,-1.84469,-2.55921,94.1803,1.87448,-0.993568,244.83,-1.14966,0.760161,1.56564,0.0128315
279.395,1.14292,0.283264,121.718,-3.1319,2.4522,204.18,-1.17514,-2.23666,-2.16894,-0.0128315
127.698,1.97115,-0.00266982,49.9647,-1.22208,1.02507,133.79,1.01539,-3.06648,-1.02774,-0.0128315
117.852,2.23369,2.92647,114.039,-1.10992,1.25933,54.3449,-0.375176,-1.29302,1.66714,0.0128315
71.6622,2.15232,1.09464,67.0794,-1.50954,1.45832,84.9841,-1.22462,-1.98648,-0.363686,-0.0128315
191.337,-1.91612,-0.0515591,106.961,3.21765,-2.30779,90.6437,1.2264,2.26894,-2.25623,-0.0128315
101.428,1.96474,-2.49311,60.8316,-2.47346,2.35663,57.1735,-1.37516,0.0379957,1.43345,-0.0128315
202.34,-2.74281,-1.31403,189.951,1.08445,-2.68663,113.753,-0.361295,1.18643,-1.37259,-0.0128315
364.213,-1.79449,-1.48916,84.6551,2.99693,-0.403612,283.605,-0.0292966,1.81791,1.08554,0.0128315
229.217,2.56325,1.73958,153.791,-1.18656,2.57543,189.592,-0.310681,-0.962464,-0.835848,-0.0128315
252.743,2.45159,2.20559,48.5894,-2.9464,2.65624,171.398,0.772932,-0.823732,-0.450652,-0.0128315
93.6897,-2.95655,-2.92131,51.6046,0.39887,-2.16179,87.451,-1.80195,0.471773,0.759512,0.0128315
156.192,-2.96699,-0.00165361,55.0505,1.46195,-1.75504,156.777,-1.04333,2.55998,-1.75339,-0.0128315
85.7949,2.62689,1.64229,61.3599,-3.63085,3.0031,110.283,1.87275,-0.876962,-1.36081,-0.0128315
169.356,-2.02095,-2.22566,100.913,1.8295,2.89661,148.136,-0.8939,0.620868,-1.16091,-0.0128315
214.331,-1.69035,-0.664537,76.3236,1.40401,-1.66914,215.859,-0.702437,2.12782,-1.00461,-0.0128315
104.497,1.29414,0.777175,81.8913,-3.10696,2.87316,50.8494,-0.891928,-1.04997,-2.09598,-0.0128315
277.789,-2.21718,1.50708,52.6821,3.98281,3.07956,208.241,0.621673,-1.51645,1.57248,0.0128315
95.177,-3.06286,-2.38581,60.3876,1.63435,-2.78236,111.837,-0.669243,0.550478,-0.396549,-0.0128315
196.002,1.23686,1.52467,70.6571,-1.77716,-0.177903,164.324,0.69937,-1.97997,1.70257,0.0128315
154.305,-1.75892,1.97978,127.001,1.44546,0.709128,79.4409,-0.244437,-1.6558,-1.27065,-0.0128315
141.144,-3.56995,-2.05104,41.3617,3.44431,2.40481,76.7119,-2.07587,0.326554,-1.82734,-0.0128315
185.813,1.01188,2.95395,81.8814,-4.01751,-2.74605,153.061,-1.48929,0.14336,-0.583183,-0.0128315
182.177,-1.49957,-2.7107,55.1147,1.54343,-1.35047,86.5166,-1.18174,0.349924,1.36023,0.0128315
221.478,1.0189,2.05389,177.497,-2.30088,-2.94857,171.45,-0.298782,-0.643752,-1.28073,-0.0128315
262.155,-0.524022,2.92316,85.9214,2.49779,0.563754,253.203,-0.0455349,-0.598341,-2.3594,-0.0128315
82.4977,2.21446,1.4119,62.3671,-1.99233,2.10332,106.304,0.680109,-1.40378,-0.691417,-0.0128315
171.257,-2.14524,-2.21491,62.7526,3.12188,2.0106,119.673,0.31863,0.626878,-2.05768,0.0128315
87.021,2.0366,2.71461,80.7283,-2.31554,0.654907,76.0311,0.456507,-1.87404,2.0597,0.0128315
151.152,-1.44898,-0.342677,76.8305,2.86386,-1.80046,155.729,0.222023,1.7805,-1.45779,-0.0128315
106.145,2.85236,-2.69262,59.7395,-2.01683,1.87059,81.5173,-0.803816,0.38494,1.71998,0.0128315
101.386,-0.823784,-2.99414,56.0105,3.03475,1.50282,78.5284,0.743308,-0.510564,-1.78622,0.0128315
156.371,1.50147,-2.61201,56.9949,-4.41361,2.76214,133.925,-1.00572,0.406522,0.909037,-0.0128315
136.067,2.76709,1.27042,48.2048,-2.26039,1.70006,62.6968,-0.310175,-1.1557,-0.429642,0.0128315
157.955,-3.1568,-2.95034,66.4327,1.63038,1.08167,116.141,-0.50089,-0.0577606,-2.25118,-0.0128315
109.787,3.16785,0.262015,87.6402,-3.5698,-1.49284,105.192,0.607693,2.52923,1.75485,0.0128315
78.8406,-1.883,-1.97036,64.3678,2.56956,-1.06002,127.618,-0.0101307,1.72193,0.910348,0.0128315
207.986,1.7542,-1.64697,131.496,-3.23034,2.96379,81.2256,-1.70856,1.23257,1.67242,0.0128315
181.223,1.56679,-2.15097,68.6613,-4.68119,-1.83122,163.535,0.0688889,1.39697,-0.319749,-0.0128315
159.278,-1.96961,2.35898,153.366,1.1409,-2.42532,79.2379,0.707044,0.223427,1.49889,0.0128315
