SignedAcoplanarity,Weight,Phi_PiPlus,Phi_PiMinus,Eta_PiPlus,Eta_PiMinus,Pt_PiPlus,Pt_PiMinus,ipX_PiPlus,ipY_PiPlus,ipZ_PiPlus,ipX_PiMinus,ipY_PiMinus,ipZ_PiMinus
0.423052,1,-1.98176,2.30782,2.81026,0.342225,12.6922,19.9954,-0.292803,-0.948712,-0.119209,-0.772501,-0.586916,-0.242429
3.12645,1,-1.12275,2.33614,0.998955,2.85649,18.9711,5.22892,0.956169,0.102363,-0.274339,-0.578968,-0.815066,0.0215277
0.364542,1,3.01458,1.49376,0.14728,-0.937321,36.6423,83.4716,-0.0861789,0.393289,-0.915367,-0.979032,0.179656,0.0960222
0.66353,1,1.23251,-1.68914,-1.50615,-0.635317,20.6461,35.6093,0.894369,0.341629,0.28878,0.177191,-0.56974,0.802496
4.76719,1,-1.55843,1.52473,-1.17674,-0.016727,30.5629,22.5196,0.823535,-0.465561,0.324104,-0.502621,0.0376329,0.863687
1.37585,1,1.35883,-1.40196,0.598685,0.0236823,30.5581,51.1159,-0.817935,-0.179144,0.546708,-0.69862,-0.135961,-0.702456
1.41028,1,2.66119,-0.147776,-1.56056,0.861533,96.8805,2.71312,0.51001,0.85983,-0.0241333,-0.534595,0.564026,0.629351
6.06706,1,1.80585,2.03732,2.22393,-0.892678,28.3087,0.423782,0.181326,-0.959941,0.213624,0.244824,-0.671906,-0.699002
2.50147,1,-1.65803,2.09033,-1.6993,-1.20696,11.4924,34.0244,0.986241,0.14133,-0.08576,-0.526304,-0.801051,-0.285167
2.95974,1,2.68342,-0.605133,2.54301,0.781326,38.1784,17.123,-0.951037,0.268129,-0.153735,-0.223794,0.702181,0.675913
2.54146,1,0.406551,-1.98011,-2.50601,-0.11978,37.8489,7.20433,-0.412161,0.911106,-0.00300204,0.361002,-0.0346388,-0.931921
5.26091,1,0.664352,-2.71373,-2.04444,-1.30859,14.628,10.726,0.00835754,-0.987314,-0.158557,0.768818,0.394564,-0.503228
0.840936,1,-0.0751874,-2.62115,2.11636,1.34861,4.97772,32.2216,0.967559,-0.0862373,-0.23747,0.0795585,-0.969914,-0.230081
1.60486,1,-0.593587,-2.68146,-1.27748,1.70783,6.41165,45.9103,-0.0693463,-0.955071,0.28815,0.939491,0.0900735,0.330519
2.82652,1,-1.5159,1.44709,0.858453,0.751767,58.47,17.364,0.758881,-0.431278,-0.487954,-0.937492,-0.145951,0.315922
3.16009,1,-0.0441315,-1.79132,-1.13283,-0.933061,182.418,7.6179,-0.292739,-0.939012,-0.180444,-0.944782,-0.122768,0.303833
1.04224,1,-2.18767,-0.670407,-0.174259,1.13903,47.4589,25.4504,0.0382385,-0.235628,0.971091,-0.0357662,-0.920896,-0.388164
0.892803,1,1.66448,-2.37849,4.40755,0.314111,7.15122,1.17265,0.996943,0.078132,0.000377211,0.698035,-0.715375,0.0313817
3.02511,1,-0.553507,0.178902,0.661083,-1.21975,3.51672,195.092,0.657741,0.704608,-0.266279,-0.694863,-0.51519,-0.501742
1.05452,1,-2.68349,-0.251762,0.45142,1.09334,38.0613,27.9515,0.435614,0.064448,0.897824,-0.363244,-0.927219,0.0912096
2.00627,1,1.63756,-1.69693,-2.16947,0.904967,10.6856,4.4969,-0.989345,-0.144463,-0.0180876,0.563145,-0.629367,-0.535505
1.02652,1,-1.26402,2.36808,-2.35967,-1.73633,47.3397,46.5845,-0.920732,0.371145,-0.120435,-0.806094,-0.588723,0.0601474
1.82499,1,1.03332,2.63731,-0.347512,-3.7971,22.6902,4.27562,-0.0355133,-0.363125,-0.931063,0.53015,-0.846997,-0.0392108
2.33785,1,-1.61829,-2.93503,0.161651,-0.176889,50.972,79.2852,0.388081,-0.165801,-0.906589,0.023346,-0.716154,0.697552
2.02772,1,0.841968,3.02393,0.0817255,1.71802,43.6123,26.734,0.110222,0.0105982,-0.99385,0.828371,-0.456349,0.32488
2.16238,1,-1.35832,2.2579,1.70044,-1.03394,26.718,13.5615,0.42069,-0.839621,-0.343595,-0.896727,-0.0347504,0.441218
1.89066,1,0.97758,-2.2348,0.742233,-0.843112,23.4976,1.80778,0.8813,-0.44857,-0.148646,-0.485575,-0.490118,0.723879
5.82811,1,0.161275,-2.54746,-2.0841,-2.30268,29.408,3.395,0.867536,0.438766,0.234233,-0.746623,-0.635462,0.19683
1.85266,1,2.41494,-0.207372,-0.0174126,-0.093091,24.7605,8.78349,0.63869,0.710788,-0.294713,0.090267,-0.0218061,0.995679
2.75928,1,0.535783,-1.84487,-0.0933708,-0.567333,1.60766,28.9854,0.512922,-0.85778,0.0335443,-0.972474,0.187103,0.138874
0.20669,1,2.65814,0.464955,-4.87125,-1.60077,14.2689,17.8401,-0.670523,0.741749,0.0143854,0.0364056,0.979445,0.1984
2.42599,1,-2.22905,-0.524057,1.61237,1.0005,22.2739,9.28746,0.308331,-0.924209,-0.225321,0.784193,0.503044,-0.363301
1.8833,1,0.864528,-1.58487,-0.0411522,0.59398,81.9715,4.98028,-0.757824,0.649708,0.059848,0.0243054,-0.532877,-0.845843
5.79987,1,1.60565,-1.98754,1.82745,0.532105,34.9522,52.0273,-0.859456,-0.488323,0.151251,-0.103918,0.55092,0.828063
3.06914,1,0.984529,-0.689156,-0.0759608,0.0378476,7.47745,103.464,-0.782765,0.546975,0.296812,0.578255,0.674511,-0.458974
1.98454,1,-2.22603,1.78067,-0.763154,1.03461,23.6989,21.8279,-0.874293,0.207167,0.438968,0.517701,-0.62461,0.584677
2.45705,1,1.83501,-2.60072,1.63116,0.603613,22.9078,8.0012,0.115501,-0.920279,0.373827,-0.636752,0.721466,-0.272091
3.09791,1,-0.603693,2.17024,-2.00324,-1.62681,56.1437,18.409,0.206547,0.972784,-0.105027,-0.968574,-0.191412,0.158824
4.34902,1,0.173454,2.61161,-0.117394,-1.8451,27.2026,9.55593,-0.204239,0.697064,-0.687305,-0.867458,0.391684,0.306758
0.520835,1,1.10705,-1.87227,-1.85122,-0.612401,15.0452,42.0742,0.951481,-0.303684,0.0495908,0.700743,-0.537726,0.46884
2.21579,1,1.68655,-1.70338,-2.01042,0.327674,3.52741,28.9,-0.20005,-0.947264,-0.250343,0.873225,0.0467772,0.485067
3.5463,1,0.165266,-3.04529,-0.951897,-1.57218,7.31502,33.4232,0.603401,0.506904,0.615594,0.707293,-0.649813,-0.27835
0.0399549,1,2.59356,-1.48307,-1.60609,0.736176,11.6509,8.06802,0.734771,-0.559099,-0.384084,0.708325,-0.404751,-0.578318
0.0752441,1,1.79621,-1.91911,0.908132,-0.679776,48.4923,19.5588,-0.985176,-0.0516702,-0.163582,-0.95199,0.300633,0.0577427
2.61972,1,-0.409011,2.57714,-1.91011,0.0690925,25.3146,11.0528,-0.646425,0.715222,-0.265692,-0.349174,-0.639951,0.6845
5.49033,1,0.183562,2.12011,-2.61853,-3.91532,17.9429,13.6937,0.639884,-0.765114,0.0717565,0.00157595,-0.99942,-0.0340297
5.22635,1,1.21514,-2.17042,-1.14748,-3.40356,25.162,1.09253,0.978186,-0.0654821,0.197138,0.952394,0.30035,-0.0522955
3.96923,1,-2.22444,0.019906,-2.26714,0.486401,5.59086,17.9734,-0.37584,0.920691,-0.10523,0.409347,-0.454259,-0.791255
